date	close
2016-02-01	6
2016-02-02	5
2016-02-03	3
2016-02-04	3
2016-02-05	5
2016-02-06	4
2016-02-07	4
2016-02-08	3
2016-02-09	1
2016-02-10	6
2016-02-11	7
2016-02-12	6
2016-02-13	1
2016-02-14	5
2016-02-15	7
2016-02-16	4
2016-02-17	5
2016-02-18	4
2016-02-19	1
2016-02-20	4
2016-02-21	2
2016-02-22	1
2016-02-25	1
2016-02-27	2
2016-02-28	4
















































































































































































































































































































































































































































































































































































































































































